player_id,player_name,player_role,birth,height,foot,value,league,value_at,nat1,nat2
61546,Facundo Roncaglia,Centre-Back,1987-02-10,1.79,right,4.5,SPA1,2017-06-30,Argentina,Italy
65237,Andreu FontÃ s,Centre-Back,1989-11-14,1.86,left,2.25,SPA1,2017-06-30,Spain,-
175446,Jonny Otto,Left-Back,1994-03-03,1.75,both,7.2,SPA1,2017-06-30,Spain,-
119905,Hugo Mallo,Right-Back,1991-06-22,1.74,right,7.2,SPA1,2017-06-30,Spain,-
192735,Stanislav Lobotka,Defensive Midfield,1994-11-25,1.72,both,0.9,SPA1,2017-06-30,Slovakia,-
207924,Jozabed SÃ¡nchez,Central Midfield,1991-03-08,1.8,right,3.15,SPA1,2017-06-30,Spain,-
283223,Emre Mor,Left Winger,1997-07-24,1.69,left,4.5,SPA1,2017-06-30,Turkey,Denmark
167798,Andrew Hjulsager,Right Winger,1995-01-15,1.75,both,1.08,SPA1,2017-06-30,Denmark,-
72047,Iago Aspas,Centre-Forward,1987-08-01,1.76,left,16.2,SPA1,2017-06-30,Spain,-
396894,Maxi GÃ³mez,Centre-Forward,1996-08-14,1.86,right,0.99,SPA1,2017-06-30,Uruguay,-
199321,RubÃ©n Blanco,Goalkeeper,1995-07-25,1.88,right,1.35,SPA1,2017-06-30,Spain,-
92947,Sergi GÃ³mez,Centre-Back,1992-03-28,1.85,right,5.4,SPA1,2017-06-30,Spain,-
30677,Gustavo Cabral,Centre-Back,1985-10-14,1.83,both,3.6,SPA1,2017-06-30,Argentina,Spain
181619,Robert Mazan,Left-Back,1994-02-09,1.8,left,0.248,SPA1,2017-06-30,Slovakia,-
63463,Daniel Wass,Right-Back,1989-05-31,1.78,right,9.0,SPA1,2017-06-30,Denmark,-
